Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.39,0.01,0.25,0,9.02,0
3.39,0.01,0.25,0,9.18,0
3.4,-0.02,0.25,0,9.34,0
3.4,0.01,0.25,0,10,0
3.4,-0.04,0.25,0,10.33,0
3.4,0.03,0.25,0,10.49,0
3.4,-0.03,0.25,0,10.49,0
3.4,0.02,0.25,0,10.82,0
3.4,-0.02,0.25,0,10.98,0
3.4,0.01,10.98,0,10.98,0
3.4,0.01,10.98,0,10.98,0
3.38,-0.04,11.15,0,11.15,0
3.38,0,11.15,0,11.15,0
3.38,0.03,11.15,0,11.15,0
3.38,0.03,11.15,0,11.15,0
3.38,-0.02,11.15,0,11.15,0
3.38,-0.01,5.57,0,11.15,0
3.38,-0.01,5.57,0,11.15,0
3.38,0,5.57,0,11.15,0
3.37,0,5.57,0,11.15,0
3.37,-0.02,5.57,0,11.15,0
3.37,-0.03,5.57,0,11.15,0
3.37,-0.02,5.57,0,11.15,0
3.37,0,5.57,0,11.15,0
3.37,-0.01,5.57,0,11.15,0
3.37,0.03,5.57,0,11.15,0
3.37,0.02,3.72,0,11.15,0
3.37,0,3.72,0,11.15,0
3.42,0,3.72,0,11.15,0
3.42,0.02,3.72,0,11.15,0
3.42,0.02,3.72,0,11.15,0
3.42,0,3.72,0,11.15,0
3.42,0,3.72,0,11.15,0
3.42,-0.03,3.72,0,11.15,0
3.42,-0.01,3.72,0,11.15,0
3.42,-0.03,2.79,0,11.15,0
3.42,0,2.79,0,11.15,0
3.37,-0.01,2.79,0,11.15,0
3.37,0.02,2.79,0,11.15,0
3.37,0.01,2.79,0,11.15,0
3.37,0,2.79,0,11.15,0
3.37,-0.01,2.79,0,11.15,0
3.37,0.03,2.79,0,11.15,0
3.37,0.02,2.79,0,11.15,0
3.37,0,2.23,2.03,11.15,0.02
3.37,-0.02,2.23,2.46,11.15,81.9
3.39,0,2.23,1.99,11.15,0.02
3.39,-0.01,2.26,2.36,11.31,81.9
3.39,-0.03,2.26,2.56,11.31,81.89
3.39,0,2.3,2.06,11.48,81.91
3.39,-0.01,2.52,2.38,12.62,21.84
3.39,-0.01,2.79,3.1,13.93,40.23
3.39,-0.02,2.85,3.25,14.26,40.23
3.39,0,2.92,3.01,14.59,40.23
3.39,-0.01,2.49,3.06,14.92,40.23
0.95,0.03,2.68,93.95,16.07,40.23
0.95,0,3.63,187.24,21.8,21.7
0.95,0.01,4.95,166.76,29.67,16.78
0.95,3.99,6.26,89.11,37.54,17.03
0.95,5.54,7.1,72.88,42.62,17.05
0.95,7.31,7.79,144.88,46.72,14.19
0.95,9.49,8.25,176.66,49.51,13.1
0.95,11.78,9.15,122.49,54.92,15.2
0.95,13.69,8.92,102.55,62.46,15.98
0.22,15.77,9.98,115.34,69.84,15.46
0.22,17.7,10.63,134.05,74.43,15.22
0.22,19.7,11.12,134.94,77.87,15.28
0.22,21.37,11.78,119.81,82.46,15.09
0.22,22.82,12.67,115.91,88.69,15.41
0.22,24.27,13.84,127.15,96.89,15.21
0.22,25.41,14.78,116.01,103.44,15.9
0.22,26.87,15.81,124.93,110.66,15.47
0.22,27.89,14.55,113.55,116.39,15.87
0.22,28.91,15.29,113.21,122.3,15.91
0.08,29.84,15.8,130.74,126.39,15.32
0.08,30.91,16.19,125.48,129.51,15.55
0.08,31.75,16.45,118.79,131.64,15.65
0.08,32.62,17.13,113.19,137.05,15.86
0.08,33.31,18.09,121.84,144.75,15.56
0.08,33.99,19.08,118.39,152.62,15.74
0.08,34.54,19.94,118.76,159.51,16.01
0.08,34.92,18.25,129.6,164.26,15.31
0.08,35.32,18.6,123.16,167.38,15.74
0.08,35.57,18.98,128.4,170.82,14.74
0.08,35.77,19.78,123.73,178.03,15.52
0.08,35.85,20.69,120.8,186.23,15.75
0.08,35.89,21.31,110.49,191.8,16.19
0.08,35.85,21.88,116.81,196.89,15.88
0.08,35.56,22.24,118.75,200.16,15.75
0.08,35.18,22.66,123.68,203.93,15.69
0.08,34.66,21.16,123.45,211.64,15.89
0.08,34.02,21.82,118.51,218.2,15.74
0.07,33.05,22.46,127.78,224.59,15.72
0.07,32.22,22.79,118.59,227.87,15.88
0.07,31.03,23.15,114.38,231.48,15.97
0.07,29.92,23.79,111.64,237.87,16.14
0.07,28.61,24.48,124.5,244.75,15.59
0.07,27.24,24.95,128.95,249.51,15.55
0.07,25.97,25.31,127.63,253.11,15.66
0.07,24.57,23.61,111.1,259.67,16.17
0.07,23.38,24.19,111.88,266.07,16.06
0.06,22.05,24.71,117.28,271.8,16.09
0.06,20.96,25.07,120.91,275.74,16.05
0.06,19.41,25.75,123.4,283.28,15.94
0.06,18.45,26.26,119.8,288.85,15.77
0.06,17.33,26.78,120.28,294.59,15.93
0.06,16.46,27.15,115.44,298.69,16.19
0.06,15.53,27.66,117.01,304.26,15.96
0.06,14.62,25.89,126.03,310.66,15.8
0.06,13.94,26.3,127.56,315.57,15.24
0.06,13.27,26.76,127.08,321.15,15.73
0.06,12.64,27.19,120.48,326.23,15.93
0.06,12.01,27.7,119.65,332.46,15.53
0.06,11.57,28.16,123.51,337.87,15.72
0.06,11.05,28.72,125.51,344.59,15.57
0.06,10.65,29.18,122.15,350.16,15.68
0.06,10.27,27.44,114.94,356.72,16.14
0.06,9.92,27.88,118.96,362.46,15.74
0.05,9.61,28.34,118.9,368.36,15.92
0.05,9.38,28.79,116.19,374.26,15.9
0.05,9.38,28.8,115.78,374.43,16.08
0.05,8.93,29.77,119.34,387.05,15.86
0.05,8.74,30.33,129.95,394.26,15.25
0.05,8.59,30.86,118.21,401.15,15.64
