Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
0.04,0,0.17,0,7.05,0
0.04,0.02,0.17,0,7.7,0
0.04,-0.01,0.17,0,8.03,0
0.04,-0.03,0.17,0,8.36,0
0.04,0.01,0.17,0,8.69,0
0.05,-0.03,0.17,0,8.85,0
0.05,0.04,0.17,0,8.85,0
0.05,-0.04,0.17,0,8.85,0
0.05,0.02,0.17,0,8.85,0
0.05,-0.04,8.85,0,8.85,0
0.05,-0.01,8.85,0,8.85,0
0.05,0,8.85,0,8.85,0
0.05,0,8.85,0,8.85,0
0.05,0.02,8.85,0,8.85,0
0.02,0,8.85,0,8.85,0
0.02,0,8.85,0,8.85,0
0.02,-0.01,4.43,0,8.85,0
0.02,-0.01,4.43,0,8.85,0
0.02,-0.04,4.43,0,8.85,0
0.02,-0.02,4.43,0,8.85,0
0.02,0.02,4.43,0,8.85,0
0.07,0.01,4.43,0,8.85,0
0.07,0,4.43,0,8.85,0
0.07,0.03,4.43,0,8.85,0
0.07,0.02,4.43,0,8.85,0
0.07,0,2.95,0,8.85,0
0.07,-0.03,2.95,0,8.85,0
0.07,-0.01,2.95,0,8.85,0
0.07,-0.02,2.95,0,8.85,0
0.07,-0.02,2.95,0,8.85,0
0.06,-0.01,2.95,0,8.85,0
0.06,-0.02,2.95,0,8.85,0
0.06,0,2.95,0,8.85,0
0.06,-0.01,2.95,0,8.85,0
0.06,0.03,2.21,0,8.85,0
0.06,0.02,2.21,0,8.85,0
0.06,0,2.21,0,8.85,0
0.06,-0.02,2.21,0,8.85,0
0.06,-0.02,2.21,0,8.85,0
0.06,-0.02,2.21,0,8.85,0
0.06,-0.02,2.21,0,8.85,0
0.06,-0.03,2.21,0,8.85,0
0.06,-0.03,2.21,0,8.85,0
0.06,-0.01,1.77,1.6,8.85,81.91
0.06,-0.02,1.77,1.71,8.85,81.9
0.06,-0.01,1.84,1.63,9.18,0
0.06,0,1.84,1.55,9.18,0.01
0.06,0.02,1.84,0.96,9.18,0.04
0.06,0,1.84,1.96,9.18,20.45
0.06,0,1.9,2.48,9.51,40.23
0.06,-0.01,2,2.9,10,40.23
0.06,-0.01,2.23,2.85,11.15,40.23
0.06,0.01,2.54,153.58,15.25,30.84
0.06,0.01,3.74,114.39,22.46,26.11
0.06,-0.03,4.75,118.13,28.52,19.65
0.06,-0.03,5.41,118.11,32.46,20.15
0.06,-0.01,6.75,165.16,40.49,16.38
0.06,-0.02,7.65,128.64,45.9,18.92
0.07,0,8.52,149.4,51.15,16.97
0.07,0.02,9.78,148.98,58.69,16.71
0.07,0.03,10.68,125.35,64.1,18.34
0.07,0,9.93,122.85,69.51,21.13
0.07,0,10.8,140.5,75.57,17.46
0.07,0.02,11.73,139.96,82.13,17.42
0.07,0.01,12.51,123.03,87.54,17.96
0.07,0,13.51,181.56,94.59,15.94
0.07,0.02,14.29,143.11,100,17.76
0.07,-0.03,15.18,135.2,106.23,16.44
0.07,-0.04,16.04,149.19,112.3,15.78
0.07,0,16.96,169.38,118.69,15.9
0.07,0.01,15.61,133.71,124.92,16.48
0.07,0,16.39,160.7,131.15,15.56
0.07,0.02,17.17,164.36,137.38,14.92
0.07,0.02,17.75,130.81,141.97,16.49
0.07,0.02,18.65,161.53,149.18,15.89
0.07,0.02,19.39,187.36,155.08,15.26
0.07,0,20.16,130.96,161.31,17.57
0.07,-0.01,21.02,147.5,168.2,16.89
0.07,-0.04,21.86,166.28,174.92,15.79
0.07,-0.04,20.02,136.89,180.16,17.03
0.07,-0.04,20.77,146.73,186.89,16.06
0.07,0.02,21.51,177.01,193.61,15.82
0.07,-0.03,22.17,115.8,199.51,18.9
0.07,-0.01,22.97,141.73,206.72,17.27
0.07,0,23.84,163.05,214.59,16.85
0.07,-0.01,24.66,126.93,221.97,17.47
0.07,-0.01,25.65,159.59,230.82,16.94
0.07,-0.01,23.9,159.2,239.02,16.04
0.07,0.02,24.7,148.94,247.05,16.4
0.07,-0.02,24.87,152.35,248.69,16.22
0.07,0,25.56,162.91,255.57,15.64
