Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.78,0,0.32,0,12.3,0
3.78,-0.02,0.32,0,13.11,0
3.78,0,0.32,0,14.59,0
3.79,-0.01,0.32,0,15.08,0
3.79,0.01,0.32,0,16.39,0
3.79,0.01,0.32,0,17.7,0
3.79,-0.01,0.32,0,18.03,0
3.79,0.01,0.32,0,18.69,0
3.79,-0.01,0.32,0,19.02,0
3.79,-0.02,19.18,0,19.18,0
3.79,-0.01,19.51,0,19.51,0
3.79,-0.02,19.67,0,19.67,0
3.78,-0.03,19.67,0,19.67,0
3.78,-0.02,19.67,0,19.67,0
3.78,0,19.67,0,19.67,0
3.78,-0.01,19.67,0,19.67,0
3.78,0.02,9.84,0,19.67,0
3.78,-0.01,9.84,0,19.67,0
3.78,-0.01,9.84,0,19.67,0
3.79,0,9.84,0,19.67,0
3.79,0.01,9.84,0,19.67,0
3.79,-0.01,9.84,0,19.67,0
3.79,-0.01,9.84,0,19.67,0
3.79,0.02,9.84,0,19.67,0
3.79,-0.01,9.84,0,19.67,0
3.79,-0.01,6.56,0,19.67,0
3.79,-0.02,6.56,0,19.67,0
3.79,-0.01,6.56,0,19.67,0
3.78,0.01,6.56,0,19.67,0
3.78,0.03,6.56,0,19.67,0
3.78,0.01,6.56,0,19.67,0
3.78,0,6.56,0,19.67,0
3.78,-0.02,6.56,0,19.67,0
3.78,0.01,6.56,0,19.67,0
3.78,-0.01,4.92,0,19.67,0
3.78,-0.03,4.92,0,19.67,0
3.78,-0.01,4.92,0,19.67,0
3.75,-0.01,4.92,0,19.67,0
3.75,0,4.92,0,19.67,0
3.75,0,4.92,0,19.67,0
3.75,0.01,4.92,0,19.67,0
3.75,0,4.92,0,19.67,0
3.75,0,4.92,0,19.67,0
3.75,0,3.93,1.91,19.67,0.01
3.75,-0.02,3.93,2.53,19.67,81.92
3.75,0.01,3.97,1.46,19.84,0.05
3.75,-0.03,4.1,2.65,20.49,81.9
3.02,-0.01,4.13,2.23,20.66,0.02
3.02,0.02,4.23,1.6,21.15,0.03
3.02,-0.01,4.36,3.1,21.8,30.41
3.02,0,4.52,2.39,22.62,40.23
