Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.4,-0.04,0.19,0,7.21,0
3.4,0.02,0.19,0,7.54,0
3.4,-0.02,0.19,0,7.87,0
3.4,0,0.19,0,8.2,0
3.4,-0.01,0.19,0,8.69,0
3.4,0,0.19,0,8.69,0
3.41,-0.02,0.19,0,8.69,0
3.41,-0.01,0.19,0,8.69,0
3.41,0,0.19,0,8.69,0
3.41,-0.01,8.85,0,8.85,0
3.41,0,8.85,0,8.85,0
3.41,0.02,8.85,0,8.85,0
3.41,0.01,8.85,0,8.85,0
3.41,-0.01,8.85,0,8.85,0
3.44,-0.02,8.85,0,8.85,0
3.44,-0.02,8.85,0,8.85,0
3.44,0,4.43,0,8.85,0
3.44,0,4.43,0,8.85,0
3.44,-0.05,4.43,0,8.85,0
3.44,-0.04,4.43,0,8.85,0
3.44,-0.02,4.43,0,8.85,0
3.44,-0.02,4.43,0,8.85,0
3.46,-0.03,4.43,0,8.85,0
3.46,-0.03,4.43,0,8.85,0
3.46,-0.01,4.43,0,8.85,0
3.46,-0.01,2.95,0,8.85,0
3.46,0.02,2.95,0,8.85,0
3.46,-0.01,2.95,0,8.85,0
3.46,-0.01,2.95,0,8.85,0
3.46,-0.03,2.95,0,8.85,0
3.46,-0.02,2.95,0,8.85,0
3.41,-0.02,2.95,0,8.85,0
3.41,-0.03,2.95,0,8.85,0
3.41,-0.03,2.95,0,8.85,0
3.41,-0.05,2.21,0,8.85,0
3.41,-0.02,2.21,0,8.85,0
3.41,-0.01,2.21,0,8.85,0
3.41,0,2.21,0,8.85,0
3.41,0,2.21,0,8.85,0
3.41,0.01,2.21,0,8.85,0
3.41,0,2.21,0,8.85,0
3.46,-0.01,2.21,0,8.85,0
3.46,-0.05,2.21,0,8.85,0
3.46,-0.04,1.77,3.06,8.85,81.88
3.46,-0.02,1.77,2.61,8.85,81.92
3.46,-0.02,1.77,2.54,8.85,81.92
3.46,-0.04,1.87,2.86,9.34,81.88
3.46,-0.03,1.9,2.74,9.51,81.89
3.46,-0.01,1.93,2.25,9.67,81.92
3.46,0.03,2.03,1.9,10.16,22.26
1.83,0.02,2.13,2.41,10.66,40.23
1.83,0,2.26,3.1,11.31,40.23
1.83,0,2.36,153.88,11.8,36.37
1.83,-0.03,3.11,182.34,18.69,25.82
1.83,0,4.51,143.99,27.05,23.53
1.83,-0.04,5.38,140.64,32.3,22.88
1.83,-0.03,6.31,161.11,37.87,22.73
1.83,3.45,7.54,151.59,45.25,23.45
1.83,4.67,8.36,141.88,50.16,22.57
0.47,6.43,9.32,157,55.9,23.01
0.47,8.29,10.63,151,63.77,22.65
0.47,9.76,9.88,149.55,69.18,22.95
0.47,11.29,10.63,157.93,74.43,22.49
0.47,12.44,11.52,157.45,80.66,22.67
0.47,13.86,12.48,154.85,87.38,22.14
0.47,15.04,13.21,150.81,92.46,22.23
