Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
2,-0.02,0.06,0,1.97,0
2,0.02,0.06,0,2.13,0
2.01,-0.02,0.06,0,2.3,0
2.01,0,0.06,0,2.62,0
2.01,-0.01,0.06,0,2.62,0
2.01,0.01,0.06,0,2.62,0
2.01,0,0.06,0,2.62,0
2.01,0,0.06,0,2.62,0
2.01,0,0.06,0,2.62,0
2.01,0,2.62,0,2.62,0
2.01,0,2.62,0,2.62,0
1.99,0.01,2.62,0,2.62,0
1.99,0.01,2.62,0,2.62,0
1.99,0,2.62,0,2.62,0
1.99,0.02,2.62,0,2.62,0
1.99,0,2.62,0,2.62,0
1.99,0,2.62,0,2.62,0
1.99,-0.02,1.31,0,2.62,0
1.99,0,1.31,0,2.62,0
1.93,-0.03,1.31,0,2.62,0
1.93,-0.03,1.31,0,2.62,0
1.93,0,1.31,0,2.62,0
1.93,0,1.31,0,2.62,0
1.93,-0.01,1.31,0,2.62,0
1.93,0,1.31,0,2.62,0
1.93,0.03,1.31,0,2.62,0
1.93,0.03,0.87,0,2.62,0
1.93,0,0.87,0,2.62,0
1.94,0,0.87,0,2.62,0
1.94,-0.03,0.87,0,2.62,0
1.94,-0.01,0.87,0,2.62,0
1.94,-0.01,0.87,0,2.62,0
1.94,-0.02,0.87,0,2.62,0
1.94,0,0.87,0,2.62,0
1.94,0,0.87,0,2.62,0
1.94,0.02,0.66,0,2.62,0
1.94,0.01,0.66,0,2.62,0
1.95,0,0.66,0,2.62,0
1.95,-0.02,0.66,0,2.62,0
1.95,-0.02,0.66,0,2.62,0
1.95,0,0.66,0,2.62,0
1.95,-0.02,0.66,0,2.62,0
1.95,-0.01,0.66,0,2.62,0
1.95,0,0.66,0,2.62,0
1.95,0.01,0.52,1.86,2.62,0.08
1.95,0.02,0.52,1.76,2.62,0.07
1.87,0.01,0.52,2.25,2.62,0.06
1.87,-0.01,0.59,2.66,2.95,0.04
1.87,-0.02,0.62,2.83,3.11,0.03
1.87,0,0.66,2.33,3.28,0.06
1.87,-0.02,0.69,3.31,3.44,18.1
1.87,-0.02,0.72,4.21,3.61,40.23
1.87,-0.01,0.82,3.83,4.1,40.23
1.87,0.02,0.71,2.98,4.26,40.23
1.87,0.01,0.74,3.16,4.43,40.23
0.4,0.01,0.79,145.16,4.75,40.22
0.4,0.01,0.87,242.26,5.25,26.94
0.4,0,0.9,260.04,5.41,20.94
0.4,0.01,0.9,266.19,5.41,18.8
0.4,-0.03,0.93,272.91,5.57,17.78
0.4,0,0.98,277.19,5.9,17.68
0.4,0,1.04,278.98,6.23,17.47
0.4,0,0.98,274.14,6.89,17.97
