Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.08,-0.04,0,0,32.46,0
3.08,0,0,0,38.36,0
3.08,0.03,0,0,40.16,0
3.08,-0.06,0,0,41.97,0
3.05,0.04,0,0,43.28,0
3.05,-0.03,0,0,44.26,0
3.05,0.02,0,0,45.41,0
3.05,-0.02,0,0,46.56,0
3.05,0,47.54,0,47.54,0
3.05,-0.02,48.52,0,48.52,0
3.05,0.02,49.34,0,49.34,0
3.05,0.03,49.84,0,49.84,0
3.05,-0.01,50.66,0,50.66,0
3.03,0.04,51.15,0,51.15,0
3.03,0.02,51.64,0,51.64,0
3.03,0,52.13,0,52.13,0
3.03,0.01,26.15,0,52.3,0
3.03,-0.01,26.23,0,52.46,0
3.03,0.03,26.23,0,52.46,0
3.03,0.04,26.23,0,52.46,0
3.03,0.03,26.23,0,52.46,0
3.03,0.02,26.23,0,52.46,0
3.03,0.02,26.23,0,52.46,0
3.03,0.01,26.23,0,52.46,0
3.03,0,26.23,0,52.46,0
3.03,-0.05,17.49,0,52.46,0
3.03,-0.03,17.49,0,52.46,0
3.03,-0.02,17.49,0,52.46,0
3.03,-0.01,17.49,0,52.46,0
3.03,0,17.49,0,52.46,0
3.03,-0.02,17.49,0,52.46,0
3.04,-0.02,17.49,0,52.46,0
3.04,-0.01,17.49,0,52.46,0
3.04,0.02,17.49,0,52.46,0
3.04,0,17.49,0,52.46,0
3.04,0.03,13.11,0,52.46,0
3.04,0,13.11,0,52.46,0
3.04,0,13.11,0,52.46,0
3.04,-0.03,13.11,0,52.46,0
3.04,-0.02,13.11,0,52.46,0
3.05,-0.06,13.11,0,52.46,0
3.05,-0.04,13.11,0,52.46,0
3.05,-0.03,13.11,0,52.46,0
3.05,-0.01,13.11,0,52.46,0
3.05,-0.01,10.49,1.39,52.46,0.01
3.05,-0.03,10.56,1.66,52.79,0.01
3.05,-0.01,11.7,1.33,58.52,0.02
3.05,0.03,12.39,0.69,61.97,0.08
3.05,0.03,12.66,0.75,63.28,0.07
1.84,0,12.89,1.2,64.43,0.06
1.84,0.01,12.98,1.96,64.92,33.6
1.84,-0.01,13.34,2.54,66.72,40.23
1.84,-0.01,13.44,2.51,67.21,40.23
1.84,0,11.26,150.34,67.54,34.34
1.84,0,12.13,213.71,72.79,26.43
1.84,-0.04,16.23,263.63,97.38,21.7
1.84,-0.03,19.07,283.43,114.43,17.26
1.84,-0.04,21.31,279.68,127.87,15.77
0.62,-0.01,24.43,283.75,146.56,15.26
0.62,-0.01,27.6,291.49,165.57,15.43
0.62,3.44,30.19,285.95,181.15,15.33
0.62,4.24,32.6,290.33,195.57,15.13
