Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
2.9,-0.01,0.22,0,3.93,81.91
2.9,0.03,0.22,0,3.93,81.91
2.9,-0.02,0.22,0,4.43,81.91
2.9,0.03,0.22,0,4.75,81.91
2.9,0.02,0.22,0,4.92,81.91
2.9,-0.01,0.22,0,5.25,81.91
2.9,0,0.22,0,5.41,81.91
2.9,-0.01,0.22,0,5.57,81.91
2.91,0,0.22,0,5.74,81.91
2.91,0,5.9,0,5.9,81.91
2.91,0,5.9,0,5.9,81.91
2.91,0,6.07,0,6.07,81.91
2.91,0,6.07,0,6.07,81.91
2.91,-0.01,6.23,0,6.23,81.91
2.91,-0.01,6.23,0,6.23,81.91
2.91,-0.01,6.23,0,6.23,81.91
2.89,0.02,3.11,0,6.23,81.91
2.89,-0.01,3.11,0,6.23,81.91
2.89,0,3.11,0,6.23,81.91
2.89,0.03,3.11,0,6.23,81.91
2.89,0.02,3.11,0,6.23,81.91
2.89,0.01,3.11,0,6.23,81.91
2.89,-0.01,3.11,0,6.23,81.91
2.89,0,3.11,0,6.23,81.91
2.89,-0.02,3.11,0,6.23,81.91
2.87,-0.03,3.11,0,6.23,81.91
2.87,0,2.08,0,6.23,81.91
2.87,-0.01,2.08,0,6.23,81.91
2.87,-0.01,2.08,0,6.23,81.91
2.87,-0.01,2.08,0,6.23,81.91
2.87,0,2.08,0,6.23,81.91
2.87,-0.01,2.08,0,6.23,81.91
2.87,0.03,2.08,0,6.23,81.91
2.87,0,2.08,0,6.23,81.91
2.84,0.01,2.08,0,6.23,81.91
2.84,0,1.56,0,6.23,81.91
2.84,0,1.56,0,6.23,81.91
2.84,-0.02,1.56,0,6.23,81.91
2.84,-0.03,1.56,0,6.23,81.91
2.84,0,1.56,0,6.23,81.91
2.84,0,1.56,0,6.23,81.91
2.84,-0.02,1.56,0,6.23,81.91
2.84,-0.02,1.56,0,6.23,81.91
2.83,0,1.56,0,6.23,81.91
2.83,0.01,1.25,1.1,6.23,0.03
2.83,0.02,1.25,1.18,6.23,0.01
2.83,0.01,1.25,1.31,6.23,0.02
2.83,0.02,1.31,1.11,6.56,0.02
2.83,0,1.38,1.34,6.89,0.01
2.83,0.02,1.48,0.86,7.38,0.05
2.83,0,1.57,1.39,7.87,0.02
2.83,0.02,1.8,1.7,9.02,24.47
2.83,0,2.23,2.61,11.15,40.23
1.3,0.01,2.46,2.46,12.3,40.23
1.3,-0.03,2.32,3.2,13.93,40.23
1.3,0,2.68,2.63,16.07,40.23
1.3,0,3.22,2.64,19.34,40.23
1.3,0,3.52,2.31,21.15,40.23
1.3,0.02,3.96,71.84,23.77,40.23
1.3,3.41,5.22,137.13,31.31,26.99
1.3,4.69,6.39,169.75,38.36,20.39
1.3,6.47,7.4,131.25,44.43,19.27
0.58,8.24,8.63,100.2,51.8,19.57
0.58,9.97,8.27,89.49,57.87,19.48
0.58,11.3,9.23,92.35,64.59,18.86
0.58,13,10.16,124.39,71.15,18.81
0.58,14.57,11.1,136.6,77.7,18.86
0.58,16.19,12.11,135.09,84.75,18.86
0.58,17.6,13.19,128.36,92.3,19
0.58,18.96,14.07,117.99,98.52,18.99
0.58,20.48,15.15,116.93,106.07,18.8
0.38,21.75,16.11,125.16,112.79,19.03
0.38,23.13,15.02,122.91,120.16,18.75
0.38,24.24,15.84,125.14,126.72,19.23
0.38,25.49,16.72,121.85,133.77,19.09
0.38,26.65,17.54,119.81,140.33,18.87
0.38,27.91,18.46,123.86,147.7,18.83
0.38,28.9,19.28,124.01,154.26,19.04
0.38,30,20.14,121.94,161.15,18.85
0.38,31.02,21.05,121.34,168.36,19.11
0.35,31.9,21.91,120.18,175.25,19.07
0.35,32.85,20.29,121.26,182.62,19.15
0.35,33.59,21.04,125.7,189.34,19.03
0.35,34.36,21.95,123.73,197.54,19.21
0.35,34.94,22.7,120.3,204.26,19.31
0.35,35.48,23.53,117.4,211.8,19.37
0.35,35.89,24.21,116.88,217.87,19.19
0.35,36.28,25.05,119.74,225.41,18.88
0.35,36.55,25.74,123.11,231.64,18.98
0.32,36.83,26.52,122.34,238.69,19.29
0.32,37.03,24.62,125.28,246.23,19.21
0.32,37.19,25.25,116.96,252.46,18.93
0.32,37.29,26,123.53,260,19.25
0.32,37.38,26.62,123.88,266.23,18.98
0.32,37.43,27.44,118.46,274.43,19.02
