Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
1.56,-0.11,0,0,3.44,0
1.56,-0.09,0,0,3.61,0
1.56,-0.13,0,0,3.77,0
1.56,-0.12,0,0,4.1,0
1.56,-0.13,0,0,4.26,0
1.51,0.03,0,0,4.26,0
1.51,0.02,0,0,4.26,0
1.51,0.07,0,0,4.26,0
1.51,0.01,4.43,0,4.43,0
1.51,0,4.43,0,4.43,0
1.51,-0.12,4.43,0,4.43,0
1.51,-0.11,4.43,0,4.43,0
1.51,-0.11,4.43,0,4.43,0
1.43,0.06,4.59,0,4.59,0
1.43,0.07,4.59,0,4.59,0
1.43,0.07,4.59,0,4.59,0
1.43,0.01,2.3,0,4.59,0
1.43,-0.02,2.3,0,4.59,0
1.43,0.08,2.3,0,4.59,0
1.43,-0.02,2.3,0,4.59,0
1.43,-0.04,2.3,0,4.59,0
1.41,-0.12,2.3,0,4.59,0
1.41,-0.13,2.3,0,4.59,0
1.41,-0.02,2.3,0,4.59,0
1.41,-0.03,2.3,0,4.59,0
1.41,0.04,1.53,0,4.59,0
1.41,0.08,1.53,0,4.59,0
1.41,0.08,1.53,0,4.59,0
1.41,0,1.53,0,4.59,0
1.41,0,1.53,0,4.59,0
1.41,-0.06,1.53,0,4.59,0
1.42,-0.08,1.53,0,4.59,0
1.42,-0.01,1.53,0,4.59,0
1.42,0,1.53,0,4.59,0
1.42,-0.07,1.15,0,4.59,0
1.42,-0.1,1.15,0,4.59,0
1.42,-0.06,1.15,0,4.59,0
1.42,0,1.15,0,4.59,0
1.42,0,1.15,0,4.59,0
1.42,0.09,1.15,0,4.59,0
1.43,0.07,1.15,0,4.59,0
1.43,0.06,1.15,0,4.59,0
1.43,0.05,1.15,0,4.59,0
1.43,0.1,0.92,819.03,4.59,0.21
1.43,-0.13,0.92,2.83,4.59,81.88
1.43,-0.03,0.92,1.55,4.59,0.04
1.43,-0.1,0.95,2.4,4.75,0.01
1.43,-0.08,0.98,2.28,4.92,0.01
0.79,0.1,1.08,0.1,5.41,0.21
0.79,-0.09,1.08,2.49,5.41,81.9
0.79,0.05,2.03,1.16,10.16,40.23
0.79,0.07,2.2,1.09,10.98,40.23
0.79,0.05,2.19,1.38,13.11,40.23
0.79,-0.01,2.7,2.18,16.23,40.23
0.79,-0.03,3.06,17.56,18.36,40.23
0.79,0.07,4.51,190.45,27.05,25.41
0.79,0.05,5.46,150.09,32.79,22.4
0.33,0.08,6.78,109.55,40.66,21.32
0.33,-0.01,7.95,99.23,47.7,20.81
0.33,0,9.1,129.43,54.59,19.93
0.33,-0.09,10.3,151.54,61.8,19.6
0.33,-0.05,9.81,142.25,68.69,20.15
0.33,-0.06,10.77,121.44,75.41,19.65
0.33,-0.05,11.83,122.68,82.79,19.91
0.33,-0.1,12.9,131.51,90.33,20.32
0.33,-0.09,13.77,140.46,96.39,20.14
0.26,-0.07,14.89,140.06,104.26,20.29
0.26,-0.08,15.76,128.76,110.33,20.37
0.26,0.01,16.81,134.66,117.7,20.45
0.26,2.92,17.94,130.64,125.57,20.39
0.26,3.23,16.7,131.66,133.61,20.36
0.26,3.55,17.66,134.08,141.31,20.35
0.26,3.88,18.46,129.16,147.7,19.86
0.26,4.13,19.34,130.93,154.75,20.46
0.26,4.43,20.27,135.36,162.13,20.09
0.19,4.78,21.19,126.41,169.51,20.19
0.19,5.03,22.13,133.4,177.05,20.5
0.19,5.2,22.99,133.91,183.93,19.81
0.19,5.39,23.91,134.6,191.31,20.41
0.19,5.47,22.06,126.98,198.52,20.4
0.19,5.73,22.95,132.41,206.56,20.33
0.19,5.85,23.64,135.26,212.79,19.9
0.19,6.04,24.54,131.15,220.82,20.6
0.19,6.13,25.17,134.03,226.56,20.29
0.18,6.28,26.08,134.35,234.75,20.51
0.18,6.34,26.81,132.46,241.31,20.5
0.18,6.35,27.7,129.53,249.34,20.27
0.18,6.41,28.4,133.11,255.57,20.3
0.18,6.49,26.36,133.28,263.61,20.2
0.18,6.4,27.11,126.59,271.15,19.98
0.18,6.35,27.9,135.58,279.02,19.81
0.18,6.4,28.7,136.58,287.05,19.94
0.18,6.37,29.38,135.05,293.77,19.98
0.16,6.45,30.13,122.04,301.31,20.27
0.16,6.42,30.79,134.75,307.87,19.82
0.16,6.36,31.56,142.15,315.57,20
0.16,6.43,32.31,134.65,323.11,20.37
0.16,6.46,30.06,122.85,330.66,20.63
0.16,6.43,30.64,134.16,337.05,20.26
0.16,6.32,31.31,132.35,344.43,20.34
0.16,6.28,31.92,139.95,351.15,20.02
0.16,6.15,32.58,141.9,358.36,20
0.08,6.02,33.28,131.86,366.07,20.31
0.08,5.95,33.86,127.68,372.46,20.18
0.08,5.97,34.58,137.15,380.33,20.36
0.08,5.83,35.26,127.5,387.87,20.47
0.08,5.72,32.87,132.09,394.43,20.33
0.08,5.77,33.5,137.46,401.97,20.09
0.08,5.74,34.13,136.35,409.51,20.3
0.08,5.66,34.7,139.13,416.39,20.22
0.08,5.55,35.3,133.24,423.61,20.35
0.08,5.51,35.89,140.18,430.66,20.29
0.04,5.29,36.49,137.83,437.87,20.41
0.04,5.22,37.17,136.33,446.07,20.1
0.04,5.19,37.7,140.7,452.46,20.07
