Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
1.94,-0.01,0.04,0,1.31,0
1.94,0.03,0.04,0,1.31,0
1.94,-0.03,0.04,0,1.31,0
1.94,0.02,0.04,0,1.31,0
1.94,0.01,0.04,0,1.31,0
1.94,-0.01,0.04,0,1.31,0
1.95,0.02,0.04,0,1.31,0
1.95,0.02,1.31,0,1.31,0
1.95,0,1.31,0,1.31,0
1.95,-0.02,1.31,0,1.31,0
1.95,-0.02,1.31,0,1.31,0
1.95,-0.03,1.31,0,1.31,0
1.95,0.01,1.31,0,1.31,0
1.95,0,1.31,0,1.31,0
1.94,-0.01,1.31,0,1.31,0
1.94,0,0.66,0,1.31,0
1.94,-0.02,0.66,0,1.31,0
1.94,0.02,0.66,0,1.31,0
1.94,0.02,0.66,0,1.31,0
1.94,0,0.66,0,1.31,0
1.94,0.01,0.66,0,1.31,0
1.94,-0.03,0.66,0,1.31,0
1.92,-0.02,0.66,0,1.31,0
1.92,0,0.44,0,1.31,0
1.92,0,0.44,0,1.31,0
1.92,-0.03,0.44,0,1.31,0
1.92,-0.02,0.44,0,1.31,0
1.92,-0.01,0.44,0,1.31,0
1.92,0,0.44,0,1.31,0
1.92,0.01,0.44,0,1.31,0
1.92,0.01,0.44,0,1.31,0
1.92,0.02,0.44,0,1.31,0
1.92,0,0.44,0,1.31,0
1.92,0.01,0.33,0,1.31,0
1.92,0.02,0.33,0,1.31,0
1.92,0.01,0.33,0,1.31,0
1.92,0,0.33,0,1.31,0
1.92,0.01,0.33,0,1.31,0
1.92,-0.02,0.33,0,1.31,0
1.92,-0.01,0.33,0,1.31,0
1.92,-0.02,0.33,0,1.31,0
1.92,-0.01,0.33,0,1.31,0
1.92,-0.01,0.26,2.09,1.31,0.04
1.92,0.02,0.26,1.43,1.31,0.09
1.92,0.03,0.3,1.49,1.48,0.08
1.92,0,0.3,2.01,1.48,0.05
1.92,0,0.3,1.93,1.48,0.05
1.92,0.02,0.3,1.53,1.48,0.09
1.92,0.03,0.3,1.99,1.48,20.98
0.83,0,0.33,3.4,1.64,40.23
0.83,-0.02,0.43,3.96,2.13,40.23
0.83,-0.01,0.38,3.56,2.3,40.23
0.83,-0.01,0.46,88.5,2.79,40.23
0.83,-0.02,0.57,252.51,3.44,25.76
0.83,-0.01,0.6,182.26,3.61,20.34
0.83,-0.01,0.66,226.14,3.93,17.74
0.83,0,0.71,225.11,4.26,16.24
0.83,0,0.74,220.76,4.43,16.17
0.14,0.03,0.79,230.88,4.75,15.57
0.14,0.02,0.87,229.63,5.25,15.52
0.14,0,0.8,233.31,5.57,15.8
0.14,-0.01,0.94,241.86,6.56,16.08
0.14,0.01,1.01,217.08,7.05,16.46
0.14,2.72,1.01,226.51,7.05,15.89
0.14,3.11,1.01,231.18,7.05,16.35
0.14,3.56,1.05,211.78,7.38,16.42
0.14,3.94,1.05,227.9,7.38,16.07
-0.04,4.45,1.05,225.43,7.38,15.7
-0.04,4.89,1.05,229.23,7.38,16.15
-0.04,5.44,0.98,225.98,7.87,16.21
-0.04,5.88,0.98,232.76,7.87,15.96
-0.04,6.43,0.98,221.5,7.87,16.59
-0.04,6.89,0.98,238.33,7.87,15.42
-0.04,7.29,0.98,226.93,7.87,16.19
-0.04,7.72,1,233.29,8.03,16.25
-0.04,8.05,1.02,227.41,8.2,15.92
-0.04,8.43,1.02,227.2,8.2,15.92
-0.04,8.69,1.02,232.19,8.2,15.69
-0.04,8.95,0.91,231.86,8.2,16.25
-0.04,9.16,0.95,227.24,8.52,15.61
-0.04,9.34,0.97,218.38,8.69,16.89
