Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
-0.05,0,0.52,0,20.49,0
-0.05,-0.01,0.52,0,21.31,0
-0.05,0,0.52,0,22.62,0
-0.05,-0.01,0.52,0,23.93,0
-0.05,0,0.52,0,25.08,0
-0.05,-0.01,0.52,0,26.07,0
-0.05,0,0.52,0,26.72,0
-0.05,0.01,0.52,0,26.89,0
-0.05,-0.03,27.21,0,27.21,0
-0.05,0.03,27.38,0,27.38,0
-0.05,0.03,27.38,0,27.38,0
-0.05,-0.03,27.54,0,27.54,0
-0.05,-0.01,27.7,0,27.7,0
-0.05,-0.01,28.03,0,28.03,0
-0.05,0,28.03,0,28.03,0
-0.05,0,28.03,0,28.03,0
-0.05,-0.03,14.02,0,28.03,0
-0.05,0,14.02,0,28.03,0
-0.05,0,14.02,0,28.03,0
-0.05,0,14.02,0,28.03,0
-0.05,0,14.02,0,28.03,0
-0.05,0.02,14.02,0,28.03,0
-0.05,0,14.02,0,28.03,0
-0.05,0,14.02,0,28.03,0
-0.06,0,14.02,0,28.03,0
-0.06,0,9.34,0,28.03,0
-0.06,-0.01,9.34,0,28.03,0
-0.06,0,9.34,0,28.03,0
-0.06,-0.02,9.34,0,28.03,0
-0.06,-0.03,9.34,0,28.03,0
-0.06,-0.01,9.34,0,28.03,0
-0.06,0.01,9.34,0,28.03,0
-0.06,0.01,9.34,0,28.03,0
-0.06,0,9.34,0,28.03,0
-0.05,0.01,9.34,0,28.03,0
-0.05,0.02,7.01,0,28.03,0
-0.05,0.03,7.01,0,28.03,0
-0.05,0,7.01,0,28.03,0
-0.05,0,7.01,0,28.03,0
-0.05,-0.02,7.01,0,28.03,0
-0.05,-0.01,7.01,0,28.03,0
-0.05,-0.02,7.01,0,28.03,0
-0.05,-0.01,7.01,0,28.03,0
-0.05,-0.01,7.01,0,28.03,0
-0.05,0.02,5.61,0.91,28.03,0.08
-0.05,0.03,5.61,0.88,28.03,0.07
-0.05,0,5.77,1.36,28.85,0.05
-0.05,0,5.93,1.43,29.67,0.05
-0.05,0.02,6,0.99,30,0.08
-0.05,0.02,6.03,0.88,30.16,0.08
-0.05,0,6.07,1.55,30.33,10.81
-0.05,0,6.26,2.53,31.31,40.23
-0.05,-0.03,6.62,3.13,33.11,40.23
-0.05,-0.02,5.66,2.75,33.93,40.23
-0.05,-0.01,5.68,67.79,34.1,40.23
-0.05,0,6.83,142.79,40.98,29.74
-0.05,0,8.17,164.1,49.02,22.9
-0.05,-0.01,9.51,76.45,57.05,30.96
-0.05,-0.01,10.87,61.75,65.25,25.58
-0.05,0,12.24,94.28,73.44,23.97
-0.05,0,13.61,132.65,81.64,22.33
-0.04,0.01,14.95,160.99,89.67,19.75
-0.04,0.02,13.89,145.99,97.21,19.42
-0.04,0,15.2,112.78,106.39,20.87
-0.04,-0.03,16.44,118.25,115.08,20.3
-0.04,-0.03,17.47,147.7,122.3,18.74
-0.04,-0.01,18.9,133.39,132.3,19.52
-0.04,-0.01,20,130.1,140,19.6
-0.04,-0.03,21.26,145.03,148.85,18.22
-0.04,-0.03,22.27,146.91,155.9,18.38
-0.03,-0.01,23.56,138.9,164.92,19.14
-0.03,0.01,21.72,111.44,173.77,19.7
-0.03,0.01,22.75,126.11,181.97,18.81
-0.03,0.01,23.71,143.53,189.67,19.17
-0.03,0,24.8,132.38,198.36,19.07
-0.03,-0.04,25.88,124.53,207.05,19.49
-0.03,-0.03,26.86,125.31,214.92,19.58
-0.03,0,27.99,133.54,223.93,19.81
-0.03,-0.02,29,124.01,231.97,20.57
-0.05,0,30.08,116.44,240.66,20.83
-0.05,0,27.63,136.06,248.69,20.71
-0.05,0.02,28.63,121.21,257.7,21.22
-0.05,0.01,29.49,124.46,265.41,20.93
-0.05,0,30.51,116.71,274.59,21.08
-0.05,0,31.37,132.61,282.3,21.2
-0.05,0,32.37,123.35,291.31,20.74
-0.05,0,33.39,126.04,300.49,21.1
-0.05,-0.01,34.39,128.86,309.51,20.31
-0.05,-0.02,35.25,137.06,317.21,20.11
-0.05,-0.02,32.62,127.1,326.23,20.45
-0.05,-0.01,33.36,125.21,333.61,20.43
-0.05,-0.01,34.21,124.51,342.13,20.67
-0.05,0.03,35.15,142.16,351.48,19.66
-0.05,0.02,35.92,120.64,359.18,21.15
-0.05,0,36.74,130.44,367.38,20.95
-0.05,0,37.54,135.51,375.41,20.82
-0.05,0.03,38.56,118.91,385.57,20.69
-0.05,0.02,39.28,121.7,392.79,20.63
-0.05,0,36.54,121.83,401.97,20.73
-0.05,0,37.32,140.01,410.49,20.51
-0.05,-0.02,38.14,135.69,419.51,19.55
-0.05,-0.02,38.85,117.91,427.38,21.17
-0.05,-0.02,39.72,121.76,436.89,21.07
-0.05,0,40.55,137.9,446.07,20.04
-0.05,0,41.27,135.44,453.93,20.25
-0.05,0.02,42.07,128.49,462.79,20.18
-0.05,0.02,42.8,122.8,470.82,21.17
-0.05,0.01,40.08,128.2,480.98,20.31
-0.05,0.01,40.74,133.66,488.85,20.41
-0.05,0.02,41.45,127.96,497.38,20.46
-0.05,0.01,42.08,143.19,504.92,20.12
-0.05,0,42.86,125.94,514.26,19.9
-0.05,-0.01,43.5,122.75,521.97,20.47
-0.05,-0.04,44.19,127.34,530.33,20.03
-0.05,0,44.92,124.21,539.02,20.43
-0.05,-0.01,45.59,140.9,547.05,19.72
-0.05,0.01,42.75,135.29,555.74,20.61
-0.05,0,43.3,109.41,562.95,21.17
-0.05,-0.01,43.93,125.99,571.15,21.31
-0.05,-0.01,44.51,126.55,578.69,20.75
-0.05,0.02,45.23,136.16,588.03,20.01
-0.05,0.01,45.83,129.6,595.74,19.87
-0.05,0,46.49,109.64,604.43,21.49
-0.05,0,47.05,120.51,611.64,21.46
-0.05,0,47.76,133.03,620.82,22.05
-0.06,-0.03,45.01,145.15,630.16,21.9
-0.06,-0.04,45.55,138.26,637.71,21.72
-0.06,-0.01,46.17,125.78,646.39,21.2
-0.06,-0.02,46.77,117.35,654.75,21.54
-0.06,-0.01,47.48,139.34,664.75,19.97
-0.06,-0.03,48,141.55,671.97,19.77
-0.06,-0.01,48.63,145.15,680.82,20.53
-0.06,-0.02,49.2,114.25,688.85,21.79
-0.06,0.01,49.82,128.46,697.54,20.98
