Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.6,0,4.55,0,78.69,0
3.62,-0.01,4.55,0,79.34,0
3.62,-0.02,4.55,0,79.51,0
3.62,0.02,4.55,0,79.84,0
3.62,-0.03,4.55,0,80,0
3.62,0.01,4.55,0,80.16,0
3.62,0.02,4.55,0,80.16,0
3.62,0,4.55,0,80.16,0
3.62,-0.04,80.33,0,80.33,0
3.62,0.03,80.33,0,80.33,0
3.62,0,80.49,0,80.49,0
3.62,0,80.66,0,80.66,0
3.62,0.01,80.66,0,80.66,0
3.62,-0.02,80.66,0,80.66,0
3.62,-0.03,80.66,0,80.66,0
3.62,0.02,80.66,0,80.66,0
3.62,0.01,40.41,0,80.82,0
3.63,-0.04,40.41,0,80.82,0
3.63,0,40.41,0,80.82,0
3.63,0,40.41,0,80.82,0
3.63,-0.03,40.41,0,80.82,0
3.63,-0.04,40.41,0,80.82,0
3.63,-0.01,40.41,0,80.82,0
3.63,0,40.41,0,80.82,0
3.63,0,26.94,0,80.82,0
3.63,0.01,26.94,0,80.82,0
3.64,0.01,26.94,0,80.82,0
3.64,0.01,26.94,0,80.82,0
3.64,0,26.94,0,80.82,0
3.64,0.02,26.94,0,80.82,0
3.64,0,26.94,0,80.82,0
3.64,0,26.94,0,80.82,0
3.64,0,26.94,0,80.82,0
3.64,-0.03,20.2,0,80.82,0
3.64,-0.01,20.2,0,80.82,0
3.63,-0.01,20.2,0,80.82,0
3.63,0.01,20.2,0,80.82,0
3.63,0,20.2,0,80.82,0
3.63,0.01,20.2,0,80.82,0
3.63,0.02,20.2,0,80.82,0
3.63,0.02,20.2,0,80.82,0
3.63,0.01,20.2,0,80.82,0
3.63,0,16.16,1.56,80.82,0.02
3.63,0.01,16.16,1.5,80.82,0.03
3.53,0,16.16,1.64,80.82,0.01
3.53,-0.03,16.2,2.08,80.98,81.89
3.53,-0.03,16.2,2.11,80.98,81.89
3.53,0,16.23,1.58,81.15,81.92
3.53,-0.01,16.3,2.09,81.48,26.22
3.53,0.02,16.49,2.16,82.46,40.23
3.53,0,17.18,2.6,85.9,40.23
3.53,0.02,14.89,1.9,89.34,40.23
3.53,-0.03,15.3,45.48,91.8,29.59
0.97,0.01,16.94,163.6,101.64,39.4
0.97,0.01,18.14,26.05,108.85,40.23
0.97,0,18.47,4.96,110.82,40.23
0.97,3.68,18.55,3.29,111.31,40.23
0.97,5.1,18.93,113.21,113.61,39.37
0.97,7.02,20.46,206.85,122.79,19.38
0.97,8.71,21.67,70.84,130,18.49
0.97,10.83,19.39,173.76,135.74,12.25
0.97,12.32,20.49,198.38,143.44,12.31
0.19,13.98,21.59,91.91,151.15,13.52
0.19,15.43,22.34,165.48,156.39,13.03
0.19,16.91,23.56,172.43,164.92,13.64
0.19,18,24.45,97.63,171.15,13.95
0.19,19.1,25.5,161.16,178.52,13.74
0.19,20.45,26.65,154.29,186.56,13.58
0.19,21.6,27.52,101.25,192.62,13.82
0.19,22.83,28.59,167.78,200.16,13.18
0.19,23.9,25.92,176.14,207.38,14.38
-0.01,25.21,26.89,90.31,215.08,14.92
-0.01,26.21,27.6,158.89,220.82,12.6
-0.01,27.31,28.69,178.44,229.51,12.39
-0.01,28.19,29.55,68.05,236.39,14.95
-0.01,29.12,30.39,123.59,243.11,12.89
-0.01,29.85,31.29,206.31,250.33,12.41
-0.01,30.57,32.44,70.45,259.51,15.03
-0.01,31.15,33.44,132.46,267.54,13.27
-0.01,31.61,30.44,208.5,273.93,13.82
-0.01,32,31.33,73.16,281.97,14.61
0,32.3,32.2,102.23,289.84,13.57
0,32.61,33.15,145.08,298.36,13.45
0,32.81,33.83,133.2,304.43,13.75
0,32.94,34.64,90.89,311.8,17.09
0,33.05,35.76,112.96,321.8,13.47
0,33.05,36.7,188.89,330.33,13.56
0,32.92,33.89,86.45,338.85,14.64
0,32.66,34.84,187.09,348.36,12.62
0.02,32.13,35.8,77.94,358.03,14.94
0.02,31.19,37.05,186.15,370.49,13.07
0.02,30.1,38.08,66.8,380.82,36.9
0.02,28.87,39.18,137.56,391.8,16.91
0.02,28.18,39.69,221.11,396.89,14.4
0.02,27.1,36.71,85.99,403.77,15.44
0.02,26.18,37.35,123.8,410.82,13.3
0.06,25.04,38.06,209.09,418.69,11.98
0.06,23.91,38.72,87.53,425.9,14.41
0.06,22.98,39.3,90.4,432.3,14.98
0.06,21.87,40.04,147.64,440.49,12.64
0.06,20.94,40.6,186.21,446.56,13.2
0.06,19.81,41.3,96.5,454.26,14.99
0.06,18.98,41.94,94.26,461.31,14.69
0.06,18.06,39.08,201.8,469.02,11.83
0.06,17.31,39.6,144.28,475.25,13.67
0.06,16.51,40.3,106.86,483.61,13.43
0.06,15.85,40.89,187.54,490.66,12.1
0.06,15.12,41.42,141.26,497.05,14.44
0.06,14.46,42.09,123.14,505.08,13.67
0.06,13.92,42.72,186.26,512.62,12.29
0.06,13.35,43.28,138,519.34,14.29
0.06,12.91,43.81,115,525.74,14.19
0.06,12.44,41.15,116.99,534.92,14.03
0.06,12.08,41.64,160.31,541.31,12.52
0.07,11.73,42.19,164.43,548.52,13.28
0.07,11.46,42.76,76.38,555.9,15.02
0.07,11.19,43.37,177.84,563.77,12.98
0.07,10.99,43.83,187.25,569.84,14.07
0.07,10.75,44.48,95.7,578.2,14.38
