Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
3.36,0,0.98,0,32.95,0
3.36,0.03,0.98,0,36.23,0
3.36,0.01,0.98,0,36.89,0
3.36,0.03,0.98,0,37.87,0
3.36,0.01,0.98,0,38.52,0
3.36,0.01,0.98,0,38.85,0
3.36,0,0.98,0,39.18,0
3.36,0.01,0.98,0,39.51,0
3.36,-0.01,39.84,0,39.84,0
3.33,-0.02,40.16,0,40.16,0
3.33,0,40.66,0,40.66,0
3.33,-0.01,40.82,0,40.82,0
3.33,-0.01,40.98,0,40.98,0
3.33,0.03,40.98,0,40.98,0
3.33,-0.01,41.15,0,41.15,0
3.33,0.01,20.66,0,41.31,0
3.33,0.01,20.66,0,41.31,0
3.33,0.01,20.66,0,41.31,0
3.33,0,20.66,0,41.31,0
3.33,0,20.66,0,41.31,0
3.33,-0.02,20.66,0,41.31,0
3.33,-0.03,20.66,0,41.31,0
3.33,0,20.66,0,41.31,0
3.33,0.01,20.66,0,41.31,0
3.33,-0.02,13.77,0,41.31,0
3.26,-0.03,13.77,0,41.31,0
3.26,-0.01,13.77,0,41.31,0
3.26,-0.01,13.77,0,41.31,0
3.26,0,13.77,0,41.31,0
3.26,0.03,13.77,0,41.31,0
3.26,0.03,13.77,0,41.31,0
3.26,0.01,13.77,0,41.31,0
3.26,0,13.77,0,41.31,0
3.26,0.03,10.33,0,41.31,0
3.25,0.02,10.33,0,41.31,0
3.25,0.01,10.33,0,41.31,0
3.25,0.01,10.33,0,41.31,0
3.25,-0.01,10.33,0,41.31,0
3.25,0.01,10.33,0,41.31,0
3.25,-0.02,10.33,0,41.31,0
3.25,0.01,10.33,0,41.31,0
3.25,0.01,10.33,0,41.31,0
3.25,-0.01,8.26,2.11,41.31,0.04
3.3,0.03,8.26,1.3,41.31,0.08
3.3,0,8.33,2.05,41.64,0.04
3.3,-0.01,8.75,2.2,43.77,0.02
3.3,0,8.92,1.95,44.59,0.03
3.3,0.01,9.15,1.89,45.74,11.62
3.3,-0.02,9.64,3.76,48.2,40.23
3.3,0.02,9.67,3.1,48.36,40.23
3.3,-0.01,8.44,3.73,50.66,40.23
1.18,-0.01,8.55,3.53,51.31,40.23
1.18,-0.01,8.72,82.59,52.3,40.23
1.18,-0.01,11.48,264.36,68.85,28.49
1.18,-0.01,16.01,301.98,96.07,19.42
1.18,3.51,18.31,297.95,109.84,17.05
1.18,4.94,22.92,295.43,137.54,16.57
1.18,6.34,26.64,292.76,159.84,16.75
1.18,8.21,30.63,291.98,183.77,17.24
1.18,10.1,34.15,310.96,204.92,16.95
0.46,12.27,32.95,310.53,230.66,16.38
0.46,14.25,36.63,321.85,256.39,16.08
